BOROUGH,Cultural Venue Type,additional_contact_name,address1,address2,address3,alternativenames,borough_code,borough_name,building_name,contact_name,easting,fid_london_ward,greenflagcommunityaward,gss_code,latitude,longitude,northing,os_addressbase_uprn,rm_organisation_name,runtime,site_name,ward,ward_2018_code,ward_2018_name,ward_code,ward_code_2018,ward_name_2018,website
Camden,Archives,,Raymond Burton House 129-131 Albert Street,,,,E09000007,Camden,,,528773.9649892623,,,E09000007,51.53728156055316,-0.14464146795043012,183672.92290387797,5082327,,04/20/2020,"Jewish Museum, London (fomerly Finchley)",,E05000130,Camden Town with Primrose Hill,,,,https://jewishmuseum.org.uk/
Camden,Archives,,Raymond Burton House 129-131 Albert Street,,,,E09000007,Camden,,,528773.9649892623,,,E09000007,51.53728156055316,-0.14464146795043012,183672.92290387797,5082327,,04/20/2020,"Jewish Museum, London",,E05000130,Camden Town with Primrose Hill,,,,https://jewishmuseum.org.uk/
Camden,Archives,,Friends House ,173-177 Euston Road,,,E09000007,Camden,,,529640.964754341,,,E09000007,51.52629909777947,-0.1325891423546377,182472.92323153804,5085921,,04/20/2020,Religious Society of Friends Library,,E05000129,Bloomsbury,,,,http://www.quaker.org.uk/resources/library
Camden,Archives,,3rd Floor Holborn Telephone Exchange ,268-270 High Holborn,,,E09000007,Camden,,,530763.9644476015,,,E09000007,51.517610851099796,-0.1167581555681674,181534.92348282854,5086502,,04/20/2020,BT Archives,,E05000138,Holborn and Covent Garden,,,,https://www.btplc.com/Thegroup/BTsHistory/BTgrouparchives/index.htm
Camden,Archives,,School of Oriental and African Studies,Thornhaugh Street,Russell Square,,E09000007,Camden,,,529884.9646868433,,,E09000007,51.52235178742337,-0.12923340561441668,182039.92334794946,5086881,,04/20/2020,Royal African Society,,E05000129,Bloomsbury,,,,http://www.royalafricansociety.org/
Camden,Archives,,Archives & Special Collections ,10 Thornhaugh Street Russell Square,,,E09000007,Camden,,,529884.9646868433,,,E09000007,51.52235178742337,-0.12923340561441668,182039.92334794946,5086881,,04/20/2020,London University: School of Oriental and African Studies (SOAS),,E05000129,Bloomsbury,,,,https://www.soas.ac.uk/
Camden,Archives,,Duchess House,18-19 Warren Street,,,E09000007,Camden,,,529162.9648825234,,,E09000007,51.523955087812595,-0.1395757574453673,182199.92330494238,5087095,,04/20/2020,Law Centres Federation,,E05000129,Bloomsbury,,,,http://www.lawcentres.org.uk/
Camden,Archives,,48 Doughty Street,,,,E09000007,Camden,,,530782.9644437097,,,E09000007,51.52360065376998,-0.11623704537650739,182201.92330277822,5087477,,04/20/2020,Charles Dickens Museum,,E05000138,Holborn and Covent Garden,,,,https://dickensmuseum.com/
Camden,Archives,,Charles Clore House ,17 Russell Square,,,E09000007,Camden,,,530009.9646530389,,,E09000007,51.52248482304691,-0.12742605363898096,182057.92334281397,5087791,,04/20/2020,London University: Institute of Advanced Legal Studies,,E05000129,Bloomsbury,,,,https://ials.sas.ac.uk/
Camden,Archives,,Freemasons' Hall ,60 Great Queen Street,,,E09000007,Camden,,,530468.9645271065,,,E09000007,51.51516267861943,-0.12111097930083257,181254.9235589244,5087804,,04/20/2020,Library and Museum of Freemasonry,,E05000138,Holborn and Covent Garden,,,,http://freemasonry.london.museum/
Camden,Archives,,Gordon Fisher House ,14-15 Great James Street,,,E09000007,Camden,,,530746.9644531053,,,E09000007,51.5216858049899,-0.11683503488182853,181987.92336047773,5087806,,04/20/2020,Federation of Master Builders,,E05000138,Holborn and Covent Garden,,,,https://www.fmb.org.uk/
